iter	MultiClass
0	1.384691975
1	1.383079439
2	1.381692282
3	1.380407591
4	1.379215463
5	1.378063382
6	1.377041769
7	1.376177567
8	1.375136017
9	1.374240582
10	1.373489085
11	1.372583221
12	1.371814137
13	1.370846572
14	1.369961461
15	1.369319144
16	1.368623867
17	1.367741968
18	1.367057139
19	1.366639593
20	1.366039258
21	1.365338313
22	1.36460628
23	1.364011219
24	1.363298417
25	1.362687267
26	1.362083946
27	1.361408809
28	1.360912667
29	1.360347739
30	1.359643387
31	1.359119187
32	1.358583952
33	1.358004893
34	1.357531279
35	1.35690669
36	1.356435815
37	1.355986227
38	1.355524507
39	1.355026337
40	1.354641235
41	1.354210541
42	1.35369316
43	1.353283175
44	1.35292165
45	1.352414117
46	1.352008272
47	1.351542849
48	1.351074333
49	1.35075662
50	1.350244209
51	1.349744161
52	1.349425583
53	1.349057518
54	1.348623005
55	1.348264448
56	1.34780483
57	1.347390121
58	1.347000662
59	1.346643127
60	1.346276504
61	1.346056467
62	1.345709708
63	1.345427763
64	1.345097087
65	1.344797637
66	1.344498403
67	1.34407304
68	1.343794573
69	1.343399133
70	1.343068199
71	1.342682969
72	1.342302884
73	1.341878478
74	1.341471367
75	1.341177452
76	1.340857803
77	1.340588205
78	1.34032378
79	1.340093167
80	1.339762925
81	1.33943397
82	1.339103056
83	1.338881029
84	1.338593812
85	1.338352856
86	1.338048968
87	1.337898543
88	1.337561097
89	1.337236884
90	1.336924272
91	1.336692276
92	1.336424897
93	1.33614654
94	1.33587098
95	1.335667999
96	1.335476967
97	1.335220118
98	1.335002482
99	1.334775713
100	1.334642941
101	1.334359732
102	1.334131559
103	1.333966904
104	1.333614415
105	1.333282297
106	1.332950646
107	1.332835725
108	1.332650592
109	1.332349664
110	1.332131985
111	1.331811494
112	1.331554307
113	1.331366825
114	1.331059394
115	1.330836501
116	1.330582264
117	1.330316528
118	1.329951062
119	1.329682738
120	1.329368023
121	1.328949111
122	1.328637429
123	1.32833253
124	1.328180442
125	1.32782013
126	1.327393889
127	1.327189661
128	1.326866965
129	1.326490874
130	1.326190389
131	1.325921613
132	1.325585383
133	1.325281618
134	1.325124617
135	1.324815067
136	1.324681429
137	1.324415943
138	1.324102854
139	1.32379578
140	1.323482488
141	1.323320108
142	1.322957027
143	1.322768841
144	1.322560828
145	1.322254366
146	1.321922626
147	1.321589679
148	1.321229732
149	1.320868049
150	1.320605307
151	1.32026073
152	1.319983023
153	1.319784027
154	1.319556867
155	1.319276158
156	1.318977678
157	1.318697008
158	1.318290314
159	1.318050515
160	1.317833066
161	1.317511139
162	1.317215726
163	1.317066104
164	1.316745763
165	1.316443874
166	1.316164637
167	1.315896906
168	1.315694829
169	1.315402693
170	1.315043465
171	1.314801523
172	1.314568113
173	1.3142418
174	1.314004046
175	1.313751534
176	1.313475432
177	1.313259259
178	1.31298796
179	1.312660068
180	1.312429629
181	1.312232409
182	1.31204064
183	1.311826304
184	1.311515409
185	1.311259909
186	1.311024945
187	1.31071516
188	1.310449802
189	1.310143273
190	1.309921336
191	1.309631936
192	1.309274956
193	1.309100517
194	1.308905303
195	1.308653415
196	1.308343149
197	1.308083009
198	1.307786861
199	1.307563336
200	1.307255876
201	1.307057988
202	1.306832319
203	1.30655792
204	1.306271255
205	1.306082712
206	1.305796577
207	1.305656305
208	1.305476741
209	1.305315697
210	1.305160957
211	1.304967903
212	1.30473801
213	1.304469479
214	1.304250832
215	1.304064945
216	1.303800773
217	1.303746281
218	1.303535765
219	1.303244225
220	1.302979739
221	1.30275822
222	1.302522006
223	1.302336031
224	1.301992465
225	1.301784323
226	1.301542172
227	1.301341597
228	1.301012745
229	1.300823614
230	1.300688375
231	1.3004299
232	1.300197199
233	1.300094871
234	1.299886517
235	1.299668208
236	1.299466534
237	1.299125471
238	1.298823013
239	1.29859892
240	1.298468965
241	1.298294921
242	1.298000051
243	1.297793086
244	1.297520942
245	1.297242726
246	1.297029772
247	1.296717087
248	1.296474831
249	1.296337154
250	1.296154845
251	1.296063135
252	1.295925046
253	1.295690276
254	1.295348321
255	1.295154269
256	1.294910191
257	1.294672425
258	1.294341171
259	1.294223204
260	1.294105516
261	1.293794809
262	1.293596159
263	1.293431847
264	1.293153843
265	1.293048806
266	1.29283068
267	1.292735623
268	1.292613467
269	1.292413889
270	1.292141771
271	1.291958522
272	1.291700549
273	1.291456519
274	1.291238307
275	1.290992011
276	1.290742805
277	1.290552028
278	1.290389165
279	1.290138469
280	1.289999155
281	1.289840948
282	1.289650431
283	1.289373226
284	1.289261397
285	1.289065355
286	1.288900904
287	1.288749981
288	1.288598526
289	1.288370207
290	1.288193357
291	1.287990025
292	1.287639012
293	1.287332104
294	1.28711942
295	1.286916135
296	1.286733692
297	1.286570259
298	1.286393084
299	1.28616191
300	1.285971431
301	1.28576642
302	1.285594301
303	1.285326721
304	1.285169565
305	1.284934605
306	1.284792062
307	1.284573118
308	1.284431218
309	1.284210306
310	1.284057233
311	1.283917219
312	1.283706049
313	1.283546538
314	1.283360126
315	1.283081295
316	1.28290311
317	1.282762855
318	1.282634386
319	1.282287399
320	1.282156288
321	1.281985037
322	1.281823806
323	1.281617498
324	1.281488981
